=== day6razor.txt ===
Total yeses = 7283
Group (3): ycatzehdimog:fvh:hqk:hq => 1
Group (4): at:i:v:v:v => 0
Group (3): fwsecblarvdo:sdoravlewcfb:ewjofrlavcdsbz:drfwcaoslvbe => 12
Group (2): rwetumkldsgjfbqianohzv:svfkorqaduhlzigjtwben:nfwougzjylprdqtvhsbaeki => 21
Group (2): zdwskmcux:tcpmxog:fudcnzxm => 3
Group (2): wmcleqrfozgstuhandipbykv:wrfugkoblvazmsxpycjhtdqine:okzimeadcrpwybvlghstqunf => 24
Group (4): croutqsxvyfg:qelbwgca:gcq:gqcilm:gqbpwcz => 3
Group (3): vbjx:xfeojybgw:jbxu:ujxb => 3
Group (4): humzypcl:mlcuh:mlchu:mwclhu:mcuhl => 5
Group (2): slqntvhwxeby:vhwxbltseyqn:wtsxhvblneqy => 12
Group (3): ikby:i:it:i => 1
Group (2): loheyfgpaibvmkxn:auivtdszjelhmcgxp:iykrlbagmevnhxp => 10
Group (4): itnaqvyzbjluexgposwc:xcoqgbusthpnvakzwlyie:unqgycsvtwozxiblpea:inzlgatuybvewqcxops:xtlqgaezvcuyionwbsp => 19
Group (4): sdbugmnzcwfqyvakjerx:rebfqgcdmunxsyavwzjk:szdwkavcbujngmryexfpq:qevfkmrbxyungjzscadw:gquzdwsykraxjnhelfvmcb => 20
Group (4): zocknmwfbitjuv:cbiojlnuzwt:nyzbcwitjuo:zocxjqntwiub:oajubtzrncwi => 10
Group (3): iys:syi:wzispyhgb:insy => 3
Group (4): udpvgixzhyobecns:hugvxskpeoc:sgpfoemxcujhvlw:gxcqoeuvhsp:coavprushteqygx => 10
Group (4): zsqtvr:hqej:sicqg:hetqad:qlkmpyxuowbfn => 1
Group (4): lopqfgtzsbny:puyfqbnlzsio:jnblqypsofzm:sbyzolfqpn:pfqblykunsoz => 10
Group (3): iegjxynurlcftbzkph:gynlhpdrfezukxcjbst:cuzteyghlrxikfnbjp:kzenfpyhrugblxtvcj => 17
Group (3): hlupx:fqpsux:xsqup:pxuwf => 3
Group (3): gzt:zmgt:ngrmzlt:zgtcs => 3
Group (3): nsp:s:is:s => 1
Group (3): zsixudhgpcfblnqmve:qxgpsczindufeblvmht:xfnueqghlmsdbvcpiz:qibfmhgselxcdznpvu => 18
Group (4): fkxcogmz:cxfmkogz:gxfokmcz:ayhgxkoqfclmz:ocxfkgmz => 8
Group (2): qxtd:hxmwdgt:cdtix => 3
Group (3): vfyb:epdk:p:npz => 0
Group (1): bkvrjsygeczfpqomhuwdi:wlrodcybkztqujmheapig => 18
Group (1): kftsrqpxazb:zfkxpqbs => 8
Group (4): guysto:ysf:sfy:ysh:ys => 2
Group (4): sh:o:vi:z:uh => 0
Group (1): lbqrpxwsuvdec:fselpdtqkvbrgu => 10
Group (1): hmwjzxectfnsiqyl:isxtqjywcnhfmze => 15
Group (3): uefgopcqnktavdhljir:dvceuhtlqnkpfi:ficqudvlhntkep:invtfpzhldcuemkq => 14
Group (1): gjlhmdyun:hlujdmgny => 9
Group (4): zupwyo:wyonzpu:yozpuw:yojwpzu:ywpuzoq => 6
Group (2): atculpzvwro:vazwctrpuo:tapwuzgvroc => 10
Group (4): kwaxzer:kwerxza:wkrxeza:akzerxw:xwezark => 7
Group (1): pazsg:apwsz => 4
Group (4): tshprib:phisbr:pihrbs:phbsir:hrsibp => 6
Group (3): ishtmycqw:thymsc:smtchy:ytscmh => 6
Group (2): fwuhmsnvjclaipgbd:huogmlpcvdjwniazs:givwhcujkmsdnlzpax => 15
Group (3): kfi:f:f:f => 1
Group (1): rotszqynjuwvdcmb:utodajecnvhy => 9
Group (3): xhmqfursgt:uthagrnfxscm:sqhtmfgwixrlyu:lwrfxytpgushm => 9
Group (4): l:l:l:j:l => 0
Group (1): jfgqrstv:izaod => 0
Group (3): rdzqnehxmwlpobuskvjiy:uhkxpldyqnbwoszmiverj:zrgpckwdusmixnebvloyfqhj:uobekwirqxynzdmhvlspj => 21
Group (4): qauvodcszfhleypxbgjrknt:yvfdoahkxjnslpgqbrcuzet:uqrdlzsnpyahtfboxcgvejk:yjqelcdxrzusghfabktnpov:oetuxsfzyvlrkhgbnqcdpja => 23
Group (2): lsgzdmvcykr:zblvifkcpesjda:qulndsmtcwzokv => 7
Group (3): gyvnbcsaljqrfo:jhbfxlmqizayrswnu:blsfnraqpyj:afhylsrjnbq => 10
Group (2): gaklz:kaz:zatnkc => 3
Group (3): ksgcejpyt:vtisnmp:ontfspa:tsp => 3
Group (4): gpnklyvzdei:iylnwvzke:ziketylvun:vznyklebi:kvziajyqnhmcsel => 8
Group (4): r:o:r:o:z => 0
Group (2): ug:lug:ug => 2
Group (4): ydgtezlosuirxqhck:zhgsqoeyxidctukrl:ritqhczsuekgdyxlo:reluzxtksoycdhqig:dcrziheolgsqkxuyt => 17
Group (4): pxgmjlwzycrtuonv:xvrnlpyjzoutwgcm:lxgtpyuzojcwnvrm:ncvrlpmyjgzwutxo:lgcvojwxnuzmrpty => 16
Group (2): tklvywfzjhx:uzkftyhvlbxw:ykhwftxzvl => 10
Group (3): jukhnepb:nbukephj:puenjkhb:punjherbk => 8
Group (1): ixsmkpvzqryd:xifdkpoejy => 6
Group (2): ghldsu:orutphgf:uhgc => 3
Group (1): pnkdgfcbmwlqjxh:uwkgyhnsjblmqcd => 12
Group (4): cui:iucqvj:uxprfci:iwxcu:iurcx => 3
Group (4): fomuvtrxj:txjumv:uvtyjmx:mujxtpkvd:utfyemxvqhj => 6
Group (3): kahpnit:zdgtbcjehip:guwjihbtplr:mtxsivpqh => 4
Group (1): hbmuerdji:pqjyxrlhnbi => 5
Group (4): blup:fupb:bpu:pub:ubwmp => 3
Group (4): ntyhgwjekrxsudz:bvdkzoprfutcjqgn:gsaekrjtnmzud:gnktzjxudr:nzgtjkulidr => 9
Group (2): kvamjswfgoul:fmagujslv:jcugaslvfm => 9
Group (2): bdtqeimuzpnhgavrw:ptmhzulsvqgnfrwkd:kcyturwmqhzgvdpn => 13
Group (1): lkvzyhnug:zuglkyef => 6
Group (2): xnsqbdhtiagwvrlpezyf:dlntjkpzugsqwaxeryhf:rpehgncayztmsqbfiwodlx => 17
Group (1): fsbv:ryoptdf => 1
Group (3): ebxfakjriydp:yijedfkprqba:praekbjifdy:ibaejpfrkdy => 11
Group (2): myfvdnqsxiazjpg:jefvmxpaisdozlbcqn:hkxqjdpnafrmsztv => 12
Group (4): faoknlebqpy:kpfylnaoeqb:oankeqybflp:nyeqkpfblao:kobelfpaqyn => 11
Group (2): b:qierm:by => 0
Group (2): rdhgxubnkcot:kbcouhmxtgd:smbtgcahuikyoxd => 10
Group (2): csuqvbzmopehfanytxlrwkdigj:qrexnzoakupicfgthdsjybvmwl:wpfkachnjtxgdysboilmuezrqv => 26
Group (2): ul:lu:lu => 2
Group (2): qrb:bycr:pwe => 0
Group (3): sbfiuhzw:msouybvlzrhwdfj:ihvzblw:xpbcqazwtekgn => 3
Group (3): vouxdfiamelztswy:iflgzytmwsbduxe:iyfkjmspzwutxlde:ncldmpithsuyekwfbxgz => 13
Group (2): ijxcbyp:jbpiycx:xybijpc => 7
Group (2): wanuhtdyskljicxzebmfpvq:lyguehpfsvcmtbkndwao:pkbdywhsvmealfctrun => 18
Group (3): ahbftkwivsczonj:nwkzvahfbycjitos:jmznkbieoswtvafhc:vztkiqjanhsbfwco => 15
Group (1): olxzgkrjcandtwupehsqbify:rzcaekovyijgxtwnbdsqhpul => 23
Group (4): azhycqgnxjpudrvfko:oxfnhvkqpdcrzjgay:hrebsqyjpaoglktdxznmcfv:rjvzcyhdqpagfonxk:jygkqxfhrcvodznpa => 17
Group (3): pqkfrztwhgybncd:yhgpobeuwatmkzqxnrd:dzqgrvbyptkhnw:snyhilgrzwvqctkpdjb => 13
Group (2): zcljnxvohbuqtyf:cyqlfrhnxujobz:bwxzhyoeusclfqnjmi => 13
Group (2): gixeoy:igoeyx:gxoeyi => 6
Group (2): xvfowdzkineas:dpinwxejkfsavoz:evkoxiznadfws => 13
Group (1): pfrxj:dqearfgnt => 2
Group (2): sfhkce:nvbdk:knv => 1
Group (4): oxpa:poxa:nxvah:pxa:xam => 2
Group (1): lafch:hafnxlc => 5
Group (1): dorcjz:aolei => 1
Group (2): nszybcuheqmt:szhjpvencm:zhnedscmp => 7
Group (1): wfdatxbsk:ucwklisqtfn => 5
Group (3): vguconbkqjmw:jnqvmgkwu:nqjwukgvm:jwvguqnmk => 9
Group (2): grajfdibqoknsu:xecwhajtilpz:yihpzjam => 3
Group (2): kjzlpfao:eprntujdzhxwql:vjlmcyazsp => 4
Group (2): eyvi:tiye:iey => 3
Group (2): mjlgsacntvyzqrdufhxpk:ftlzrhsjgvmnkupdxcqay:dyvhtcruxmapsnljzqkfg => 21
Group (4): shj:lzsvj:sjh:msj:js => 2
Group (1): zhoselpidtvnqac:cqitodanpuxvzh => 12
Group (3): ih:tzhe:whe:mrdvh => 1
Group (2): htacu:niatchu:yucath => 5
Group (4): adhflbns:plhbdfas:afshldb:sdvhaiolqbgf:ksfdlhba => 7
Group (2): frsy:frsy:srfy => 4
Group (4): dcq:dkmeqcv:qdc:cdq:cdyq => 3
Group (2): awgp:wp:fpyw => 2
Group (1): kjph:xhkjp => 4
Group (1): fjplvwnihqotkcsyd:tdvusiypqkjcfowlh => 16
Group (3): quyzmxeprlgona:hwkseitjocfxr:dzpqolenxr:brpeyox => 4
Group (4): bnjhzetoldk:ftnizogykhamjbul:zobtjesnklh:qbkrtjlnohsz:kbjpwoqznstlh => 9
Group (3): w:t:wgq:sanxjuzypkf => 0
Group (3): wkpzeigcxqob:wbgipzkqeoxc:ceqkgxbpizwo:qbozgixckepw => 12
Group (4): vibupghywqco:vwiqhcgbpyou:vycqgohubiwp:obcguhvipqyw:pbujhvewogqyic => 12
Group (2): qol:los:oghrfxa => 1
Group (3): slorfjctxvw:jdfcyrtoxv:xuozvcernibftj:vcjfxwoytr => 8
Group (2): awrehc:aicze:caeh => 3
Group (2): qxvuhyp:hxvcpy: => 5
Total ALL yeses = 3520
